from_wps_url,to_clean_url,n_hops,redirect_type,final_status
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/credito-endeudamiento/como-funcionan-las-tarjetas-de-credito,https://www.bancodebogota.com/educacion-financiera/como-funciona-una-tarjeta-de-credito,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/credito-endeudamiento/el-endeudamiento-y-los-creditos,https://www.bancodebogota.com/educacion-financiera/creditos/antes-de-pedir-un-credito,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/credito-endeudamiento/pedir-prestado-cuesta,https://www.bancodebogota.com/educacion-financiera/creditos/antes-de-pedir-un-credito,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/credito-endeudamiento/se-responsable-con-el-dinero-plastico,https://www.bancodebogota.com/educacion-financiera/tarjeta-de-credito/como-funcionan-las-tarjetas-de-credito,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/credito-endeudamiento/todo-sobre-los-creditos,https://www.bancodebogota.com/educacion-financiera/creditos/todo-sobre-los-tipos-de-credito,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/economia-familiar/cuanto-vale-estudiar,https://www.bancodebogota.com/educacion-financiera/economia-familiar/cuanto-vale-estudiar,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/economia-familiar/tu-patrimonio,https://www.bancodebogota.com/educacion-financiera/economia-familiar/que-es-y-como-aumentar-el-patrimonio,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/presupuesto-personal/a-planear-tu-presupuesto,https://www.bancodebogota.com/educacion-financiera/economia-familiar/como-hacer-un-presupuesto,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/presupuesto-personal/quien-me-ayuda-a-ahorrar,https://www.bancodebogota.com/educacion-financiera/economia-familiar/como-hacer-un-presupuesto,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/educacion-financiera/articulos-educacion-financiera/que-es-un-banco/como-se-origino-el-dinero,https://www.bancodebogota.com/educacion-financiera/nuestra-organizacion/historia-del-dinero,1,http_3xx,200
